Year,Country,Matches,AveGoalsFor,AveGoalsAgainst,HomeMatches,HomeAveGoalsFor,HomeAveGoalsAgainst,AwayMatches,AwayAveGoalsFor,AwayAveGoalsAgainst,Host,ChampCount,Champion
2012,Spain,6.0,2.0,0.16666666666666666,4.0,2.75,0.25,2.0,0.5,0.0,false,2.0,true
2012,Sweden,3.0,1.6666666666666667,1.6666666666666667,2.0,2.0,1.5,1.0,1.0,2.0,false,0.0,false
2012,Ukraine,3.0,0.6666666666666666,1.3333333333333333,2.0,1.0,1.5,1.0,0.0,1.0,true,0.0,false
2016,Albania,3.0,0.3333333333333333,1.0,1.0,0.0,1.0,2.0,0.5,1.0,false,0.0,false
2016,Austria,3.0,0.3333333333333333,1.3333333333333333,1.0,0.0,2.0,2.0,0.5,1.0,false,0.0,false
2016,Belgium,5.0,1.8,1.0,2.0,1.5,1.0,3.0,2.0,1.0,false,0.0,false
2016,Croatia,4.0,1.25,1.0,2.0,1.0,1.0,2.0,1.5,1.0,false,0.0,false
2016,Czech Republic,3.0,0.6666666666666666,1.6666666666666667,2.0,1.0,2.0,1.0,0.0,1.0,false,0.0,false
2016,England,4.0,1.0,1.0,3.0,1.3333333333333333,1.3333333333333333,1.0,0.0,0.0,false,0.0,false
2016,France,7.0,1.8571428571428572,0.7142857142857143,4.0,2.75,1.0,3.0,0.6666666666666666,0.3333333333333333,true,3.0,false
2016,Germany,6.0,1.1666666666666667,0.5,5.0,1.2,0.6,1.0,1.0,0.0,false,1.0,false
2016,Hungary,4.0,1.5,2.0,2.0,1.5,3.5,2.0,1.5,0.5,false,0.0,false
2016,Iceland,5.0,1.6,1.8,2.0,1.5,1.0,3.0,1.6666666666666667,2.3333333333333335,false,0.0,false
2016,Italy,5.0,1.2,0.4,3.0,1.0,0.3333333333333333,2.0,1.5,0.5,false,1.0,false
2016,Northern Ireland,4.0,0.5,0.75,1.0,0.0,1.0,3.0,0.6666666666666666,0.6666666666666666,false,0.0,false
2016,Poland,5.0,0.8,0.4,2.0,1.0,0.5,3.0,0.6666666666666666,0.3333333333333333,false,0.0,false
2016,Portugal,7.0,1.2857142857142858,0.7142857142857143,4.0,1.0,0.25,3.0,1.6666666666666667,1.3333333333333333,false,3.0,true
2016,Republic of Ireland,4.0,0.75,1.5,1.0,1.0,1.0,3.0,0.6666666666666666,1.6666666666666667,false,0.0,false
2016,Romania,3.0,0.6666666666666666,1.3333333333333333,2.0,0.5,1.0,1.0,1.0,2.0,false,0.0,false
2016,Russia,3.0,0.6666666666666666,2.0,2.0,0.5,2.5,1.0,1.0,1.0,false,0.0,false
2016,Slovakia,4.0,0.75,1.5,1.0,0.0,0.0,3.0,1.0,2.0,false,0.0,false
2016,Spain,4.0,1.25,1.0,2.0,2.0,0.0,2.0,0.5,2.0,false,2.0,false
2016,Sweden,3.0,0.3333333333333333,1.0,1.0,0.0,1.0,2.0,0.5,1.0,false,0.0,false
2016,Switzerland,4.0,0.75,0.5,2.0,0.5,0.5,2.0,1.0,0.5,false,0.0,false
2016,Turkey,3.0,0.6666666666666666,1.3333333333333333,1.0,0.0,1.0,2.0,1.0,1.5,false,0.0,false
2016,Ukraine,3.0,0.0,1.6666666666666667,2.0,0.0,1.5,1.0,0.0,2.0,false,0.0,false
2016,Wales,6.0,1.6666666666666667,1.0,3.0,2.0,0.6666666666666666,3.0,1.3333333333333333,1.3333333333333333,false,0.0,false
